meanI,meanJ,taoI,taoJ,kontras,Energy,Homogenitas,Correlation,Class
48.58397323,48.57044882,77.75777299,77.74701124,19.74059941,0.506467358,0.985137839,0.998367338,1
55.00174818,55.01976179,76.92836163,76.94010802,25.99523804,0.429113242,0.985419245,0.997804079,1
51.48618136,51.47372246,71.55203165,71.54295482,25.12046663,0.432703541,0.983223833,0.997546394,1
63.24669021,63.26218026,92.56057843,92.56922147,39.8297316,0.462609444,0.984825877,0.997675758,1
50.01323624,49.99771466,83.45244508,83.44018548,28.76174061,0.537227919,0.984459075,0.997934787,1
39.54364294,39.54430068,66.55424964,66.55477133,32.20776604,0.546770362,0.984647111,0.996364404,1
45.39109578,45.38988477,71.56105447,71.56022342,38.60481584,0.509251624,0.983616014,0.99623068,1
18.55128359,18.55128359,56.35973086,56.35973086,33.40831906,0.809112783,0.991633855,0.994741198,1
32.27391953,32.26488539,68.56427021,68.55575698,25.80816606,0.664612091,0.984948149,0.997254745,1
36.45774861,36.45774861,77.59625938,77.59625938,62.74351615,0.670505163,0.9907307,0.994789765,1
38.84108604,38.84108604,79.27941877,79.27941877,64.11530013,0.650019681,0.990892334,0.994899523,1
52.16941484,52.18066237,80.6640957,80.67149748,35.7714007,0.486438239,0.983281994,0.997251452,1
65.16426532,65.14661478,91.27189466,91.26436055,49.19895569,0.428710574,0.980845502,0.997046858,1
47.20584859,47.20584859,81.48967152,81.48967152,60.35784176,0.559403256,0.985305129,0.99545537,1
55.26260125,55.24702283,88.653394,88.64361908,44.9362815,0.516475377,0.983457696,0.997140955,1
8.223741005,8.231844168,39.54210321,39.56105109,41.29066979,0.917470062,0.996963274,0.986802554,1
31.97137591,31.97137591,67.51089504,67.51089504,35.17337184,0.664253568,0.988643925,0.996141342,1
39.77566037,39.79116373,73.21037541,73.22453253,28.38077187,0.591865864,0.97863534,0.997352974,1
7.337736299,7.337736299,38.33344364,38.33344364,37.67670401,0.929250816,0.997262625,0.987180023,1
28.01509208,28.02034632,69.29141626,69.29786365,38.65154006,0.731275715,0.99111212,0.99597527,1
26.7920205,26.7920205,66.81103772,66.81103772,53.86590058,0.736573341,0.989981015,0.993966247,1
61.79394714,61.77970871,77.15998282,77.15605704,21.31180962,0.366362281,0.981662823,0.998210121,1
54.84331825,54.86170811,75.46521277,75.47533362,12.89625741,0.420441399,0.985969258,0.998867946,1
46.50740805,46.49993116,75.23465105,75.22938868,21.9457402,0.516303408,0.976524754,0.998061289,1
32.76048542,32.76660302,65.83116394,65.83785133,21.61612401,0.63838736,0.982942963,0.99750633,1
36.21980791,36.230087,71.28385896,71.29562278,28.94446791,0.623532865,0.988228364,0.997152407,1
34.1204197,34.13298413,69.48361837,69.49675692,19.82213449,0.647327342,0.988449522,0.99794758,1
29.74818049,29.74584626,64.13061822,64.12888538,19.9780722,0.672099988,0.988929782,0.99757113,1
39.0336058,39.04052665,74.34880002,74.35438663,32.51782277,0.611882887,0.98527589,0.9970589,1
